"","subID","phase","ln_AF7","ln_AF3","ln_AF4","ln_AF8","ln_F7","ln_F5","ln_F3","ln_F4","ln_F6","ln_F8","Left","Right","FAS","pre_FAS","delta_FAS_rest"
"13","a01","b13",-0.285664549304114,-0.457377726977462,-0.254000203833083,-1.05310530262842,-0.399000441649696,-0.37994794329977,-0.331817257410353,-0.310593687564761,-0.674481815676866,-0.866292260635579,-0.370761583728279,-0.631694654067743,-0.260933070339464,-0.295369225484914,0.0344361551454499
"14","a01","b14",-0.423504775364734,-0.443685741646981,-0.271893606226226,-1.09921976518262,-0.424785345620545,-0.411558762340647,-0.35783700859303,-0.267055566826093,-0.672801260012621,-0.967855187343754,-0.412274326713187,-0.655765077118263,-0.243490750405076,-0.295369225484914,0.0518784750798377
"15","a01","b15",-0.424986339739417,-0.372366908035732,-0.249729325211317,-1.09893245923219,-0.324855292994905,-0.30625540891022,-0.250237043534502,-0.129452412304315,-0.664486115868535,-0.881132703778526,-0.335740198642955,-0.604746603278977,-0.269006404636022,-0.295369225484914,0.0263628208488913
"16","a01","b16",-0.388436295828679,-0.414727571631504,-0.240559271131441,-1.18834070719389,-0.43499289345013,-0.424872525902616,-0.350713755152878,-0.255616638594031,-0.705272368198828,-0.897277409330146,-0.402748608393161,-0.657413278889667,-0.254664670496506,-0.295369225484914,0.040704554988408
"17","a01","b17",-0.367270265129004,-0.349745383848222,-0.198881463804472,-1.00860065308447,-0.331660539650724,-0.327362664535758,-0.275952272650541,-0.245059835887894,-0.600473136128982,-0.840548685429347,-0.33039822516285,-0.578712754867032,-0.248314529704182,-0.295369225484914,0.0470546957807314
"18","a01","b18",-0.370818341294707,-0.333597758448751,-0.245875958339545,-1.10284543917812,-0.40547256364474,-0.381595210186301,-0.294674751624088,-0.257695441305641,-0.707069182013569,-1.02533793721249,-0.357231725039717,-0.667764791609873,-0.310533066570156,-0.295369225484914,-0.0151638410852419
"19","a01","b19",-0.376488182468292,-0.428741808511763,-0.152050499167869,-1.04325448138049,-0.41698746143546,-0.405578307173688,-0.331469450993641,-0.195138621515807,-0.532102742593574,-0.91030271461884,-0.391853042116569,-0.566569811855317,-0.174716769738748,-0.295369225484914,0.120652455746166
"20","a01","b20",-0.384412633883666,-0.425890135165496,-0.216322134878795,-1.13338907407569,-0.470645554477717,-0.451264411073289,-0.406262878328733,-0.196144213990539,-0.580971966885188,-0.856092772146562,-0.42769512258578,-0.596584032395354,-0.168888909809573,-0.295369225484914,0.12648031567534
"21","a01","pretest",-0.387737342685321,-0.421275324849797,-0.268955996105502,-1.07576184316479,-0.434245224415288,-0.433681698151288,-0.371432644295578,-0.347030229641253,-0.716752239834109,-1.11671805307619,-0.409674446879454,-0.705043672364368,-0.295369225484914,-0.295369225484914,0
"22","a02","b01",0.040315626484756,-0.382706953601208,-0.831170270593677,-0.79792006848786,0.0336865217217265,-0.552127108993469,-0.557343571917008,-0.336154205398707,-0.40236979192702,-0.616562643281421,-0.28363509726104,-0.596835395937737,-0.313200298676697,0.0500881345061565,-0.363288433182853
"23","a02","b02",0.0696266700030783,-0.341119666223216,-0.791941683863509,-0.748525861799234,0.0672907385804356,-0.645711233007145,-0.640111452412755,-0.261690643516622,-0.298864823850384,-0.516353775084942,-0.298004988611921,-0.523475357622938,-0.225470369011018,0.0500881345061565,-0.275558503517174
"24","a02","b03",0.158617230248733,-0.279805459434787,-0.625535791598333,-0.59596444393312,0.160784196133979,-0.329512212082989,-0.335350148975274,-0.0313479278508468,-0.0881311480392241,-0.431379718028747,-0.125053278822068,-0.354471805890054,-0.229418527067986,0.0500881345061565,-0.279506661574143
"25","a02","b04",0.0365647771594255,-0.370580189188945,-0.814854142142833,-0.784182073746607,0.0280604827504825,-0.547003646451672,-0.550928770183311,-0.198541710812847,-0.340294296139839,-0.491037076509856,-0.280777469182804,-0.525781859870396,-0.245004390687593,0.0500881345061565,-0.295092525193749
"26","a02","b05",0.00704045174168547,-0.484551856404116,-0.826831923692732,-0.791862832761336,0.00422176608140466,-0.409131115265931,-0.414769641802076,-0.231244724781034,-0.294209248161884,-0.647280665367346,-0.259438079129807,-0.558285878952866,-0.29884779982306,0.0500881345061565,-0.348935934329216
"27","a02","b06",-0.0782905781314516,-0.444477666391834,-0.650440686372445,-0.622486609587119,-0.0870838919544695,-0.471918707383087,-0.483354217774755,-0.123767993876575,-0.157474001585387,-0.479087799103087,-0.313025012327119,-0.406651418104923,-0.0936264057778035,0.0500881345061565,-0.14371454028396
"28","a02","b07",-0.0133000174244872,-0.558020737301465,-0.90601037355709,-0.877073584442235,-0.0165774579275442,-0.500107869445669,-0.503682093521108,-0.15866313470608,-0.330519934340866,-0.495732780611543,-0.318337635124055,-0.553599961531563,-0.235262326407508,0.0500881345061565,-0.285350460913665
"29","a02","b08",0.169887232420748,-0.452432181885957,-0.698706225558288,-0.670635639276337,0.166174530754024,-0.483057786408838,-0.494657284182877,-0.120211845779128,-0.160244009631963,-0.337621822259977,-0.21881709786058,-0.397483908501139,-0.178666810640558,0.0500881345061565,-0.228754945146715
"30","a02","b09",0.140533672420931,-0.40675681577404,-0.841902138217025,-0.809070967174469,0.144244297223301,-0.38729199099689,-0.390756770529637,-0.264824433768131,-0.340302332584096,-0.51007111595018,-0.180005521531267,-0.55323419753878,-0.373228676007513,0.0500881345061565,-0.423316810513669
