"","subID","phase","ln_Fz","pre_MFT","delta_MFT_rest"
"642","l01","b12",1.53763512075439,1.00683224266252,0.530802878091875
"643","l01","b13",1.20589076451933,1.00683224266252,0.199058521856813
"644","l01","b14",1.38696786350607,1.00683224266252,0.380135620843554
"645","l01","b15",1.37757785827014,1.00683224266252,0.370745615607618
"646","l01","b16",1.34562787445991,1.00683224266252,0.338795631797391
"647","l01","b17",1.37295478640398,1.00683224266252,0.366122543741466
"648","l01","b18",1.39496599738443,1.00683224266252,0.388133754721917
"649","l01","b19",1.49531624894954,1.00683224266252,0.488484006287019
"650","l01","b20",1.32266413274468,1.00683224266252,0.315831890082164
"651","l01","pretest",1.00683224266252,1.00683224266252,0
"652","l02","b01",1.97411817649281,1.28043441571929,0.693683760773512
"653","l02","b02",1.49062840057404,1.28043441571929,0.210193984854741
"654","l02","b03",1.58609005498499,1.28043441571929,0.305655639265697
"655","l02","b04",1.55866506352672,1.28043441571929,0.27823064780743
"656","l02","b05",1.65077668154896,1.28043441571929,0.370342265829662
"657","l02","b06",1.55795235808387,1.28043441571929,0.277517942364575
"658","l02","b07",1.60535887292031,1.28043441571929,0.324924457201016
"659","l02","b08",1.58586106904645,1.28043441571929,0.305426653327159
"660","l02","b09",1.72969213750197,1.28043441571929,0.449257721782678
"661","l02","b10",1.60142790609031,1.28043441571929,0.320993490371015
"662","l02","b11",1.30953945918437,1.28043441571929,0.0291050434650773
"663","l02","b12",1.53948135475505,1.28043441571929,0.259046939035757
"664","l02","b13",1.49519366681259,1.28043441571929,0.214759251093299
"665","l02","b14",1.51835013324348,1.28043441571929,0.237915717524187
"666","l02","b15",1.44900089287692,1.28043441571929,0.168566477157629
"667","l02","b16",1.57154049409999,1.28043441571929,0.291106078380699
"668","l02","b17",1.52117848333303,1.28043441571929,0.240744067613733
"669","l02","b18",1.66772704084049,1.28043441571929,0.387292625121198
"670","l02","b19",1.62729693225772,1.28043441571929,0.346862516538422
"671","l02","b20",1.51441579553015,1.28043441571929,0.233981379810853
"672","l02","pretest",1.28043441571929,1.28043441571929,0
"673","l03","b01",0.652174216494261,0.485031732501689,0.167142483992572
"674","l03","b02",0.730696819708119,0.485031732501689,0.24566508720643
"675","l03","b03",0.807010507053256,0.485031732501689,0.321978774551567
"676","l03","b04",0.754757238899398,0.485031732501689,0.269725506397709
"677","l03","b05",0.750897100438127,0.485031732501689,0.265865367936438
"678","l03","b06",0.861966467107708,0.485031732501689,0.376934734606019
"679","l03","b07",0.703135682587392,0.485031732501689,0.218103950085703
"680","l03","b08",0.714926168645047,0.485031732501689,0.229894436143358
"681","l03","b09",0.755302991569518,0.485031732501689,0.270271259067829
"682","l03","b10",0.674429128678735,0.485031732501689,0.189397396177046
"683","l03","b11",0.661111476354205,0.485031732501689,0.176079743852516
"684","l03","b12",0.675647423506592,0.485031732501689,0.190615691004903
"685","l03","b13",0.691839708615148,0.485031732501689,0.206807976113459
"686","l03","b14",0.58212175023166,0.485031732501689,0.0970900177299709
"687","l03","b15",0.928703778445809,0.485031732501689,0.44367204594412
"688","l03","b16",0.881036091521634,0.485031732501689,0.396004359019945
"689","l03","b17",0.549035504197282,0.485031732501689,0.0640037716955932
"690","l03","b18",0.659911837234283,0.485031732501689,0.174880104732594
"691","l03","b19",0.786243759033965,0.485031732501689,0.301212026532276
"692","l03","b20",0.766513708086617,0.485031732501689,0.281481975584928
"693","l03","pretest",0.485031732501689,0.485031732501689,0
"694","l04","b01",1.59898284786102,1.47402266114578,0.124960186715238
"695","l04","b02",1.66411754638919,1.47402266114578,0.19009488524341
"696","l04","b03",1.61183869135782,1.47402266114578,0.137816030212042
